"","Row.names","meanPropChange","mean.r","mean.o","meanDiff","sdDiff","medianPropChange","median.r","median.o","medianDiff","nTrue","nValid","modelN","modelEstimate","MLM95lb","MLM95ub","simNum","propNull","propAttenuation","squaredError","absoluteError"
"2569","bf0repSimBelow3",-0.581221747533898,0.187425134547946,0.349098104707483,-0.161672970159536,0.157384088590065,-0.583247670717383,0.116952284064761,0.309519604203112,-0.125972057875404,44,285,44,-0.121331056304802,-0.15407772409039,-0.088584388519214,62,0.9,0.3,0.0790856712860192,0.281221747533898
"2570","bfrep0SimAbove3",-0.40365725304374,0.293023954147152,0.439785770262265,-0.146761816115113,0.189592862602544,-0.313581763755588,0.227648623412936,0.34669477755082,-0.103998485292197,21,285,21,-0.122056399876141,-0.170359796955916,-0.0737530027963657,62,0.9,0.3,0.0107448261085739,0.10365725304374
"2571","BF01Below3",-0.754468908318014,0.109486494561464,0.51529774714425,-0.405811252582786,0.421725333067408,-0.685976812162948,0.127933500735117,0.398044963704019,-0.240801177620678,53,306,53,-0.336846811280302,-0.440860239385216,-0.232833383175388,62,0.9,0.3,0.206541988627768,0.454468908318014
"2572","bf10SimAbove3",-0.461192210830181,0.247252625198591,0.434537576933196,-0.187284951734606,0.252803243629564,-0.336040882217379,0.199926006565419,0.357046264481122,-0.11055992205743,28,306,28,-0.182479463215973,-0.296489022285783,-0.0684699041461633,62,0.9,0.3,0.0259829288323216,0.161192210830181
"2573","BF0PBelow3",-0.477460244602153,0.221289526470504,0.483816600021983,-0.262527073551479,0.279434250545107,-0.438826016541115,0.165099713314846,0.388423099718296,-0.182241565073034,47,306,47,-0.227116276590019,-0.304632533066639,-0.1496000201134,62,0.9,0.3,0.0314921384142559,0.177460244602153
"2574","BFP0Above3",-0.256650065851596,0.322307923723238,0.483345749038607,-0.161037825315369,0.245315750523921,-0.308655814530784,0.244484978166442,0.376933426994846,-0.105772906875222,24,306,24,-0.151257529874119,-0.263833302675295,-0.0386817570729429,62,0.9,0.3,0.00187921679067095,0.0433499341484038
"2575","Overall",-0.476961331393077,0.228446174109763,0.404449028552332,-0.176002854442569,0.246017795190691,-0.504516109768887,0.149331449472526,0.342828254415394,-0.132674374525822,314,314,305,-0.171223331424846,-0.199198206103461,-0.143248456746231,63,0.4,0.1,0.142099845365641,0.376961331393077
"2576","StatisticalSignificance",-0.00794605061261283,0.413434201186267,0.427832058059199,-0.0143978568729315,0.144944080056437,-0.08459263420625,0.316271520947441,0.354092528962243,-0.0347766692958725,162,306,161,-0.0336385730457515,-0.0671801827733989,-9.69633181042151e-05,63,0.4,0.1,0.00847392959781564,0.0920539493873872
"2577","Nonequivalence",-0.142228693304022,0.364073898160062,0.443311327816458,-0.079237429656396,0.218887114395705,-0.145563423000039,0.277091548405637,0.363879161463818,-0.054254436650062,194,305,194,-0.0724844858788221,-0.130951219558491,-0.0140177521991528,63,0.4,0.1,0.00178326253816518,0.0422286933040224
"2578","bf0repSimBelow3",-0.0813114428707806,0.382343421978945,0.429603000021929,-0.0472595780429843,0.193518474942907,-0.127064682096831,0.252081975016371,0.337237681560263,-0.0509800463586933,144,262,144,-0.0387870939861054,-0.0681665466697089,-0.00940764130250185,63,0.4,0.1,0.000349262167572096,0.0186885571292194
"2579","bfrep0SimAbove3",0.0516670663209392,0.436139071360575,0.431342219254437,0.00479685210613803,0.153271990884349,-0.0721384911514128,0.304349072789892,0.342828254415394,-0.0192373670144164,115,262,115,-0.0159896226818435,-0.0573164369874738,0.0253371916237867,63,0.4,0.1,0.0230028990064002,0.151667066320939
"2580","BF01Below3",-0.137975642055782,0.383203103010111,0.455451899940546,-0.0722487969304347,0.239348175636209,-0.11826308084035,0.301350353224723,0.385698718807712,-0.0444364880913958,178,306,178,-0.0462902826609451,-0.0688520417131836,-0.0237285236087067,63,0.4,0.1,0.00144214938954885,0.0379756420557816
"2581","bf10SimAbove3",-0.0261568024603811,0.437524138650166,0.440790146361831,-0.00326600771166528,0.145259864402242,-0.0719937680130539,0.335813079098563,0.366684187365329,-0.0252016250859281,143,306,143,-0.0207617594924232,-0.0505197027654492,0.00899618378060275,63,0.4,0.1,0.00545281782287518,0.0738431975396189
"2582","BF0PBelow3",-0.116542160907952,0.389876766241932,0.443583063500646,-0.0537062972587136,0.194819044096213,-0.12052846856304,0.296813025635376,0.365443754271396,-0.0462542280205849,181,306,181,-0.0424226278019707,-0.0636519054435373,-0.0211933501604041,63,0.4,0.1,0.000273643087504588,0.0165421609079524
"2583","BFP0Above3",0.0440126448028159,0.443264987502487,0.442835074890614,0.000429912611872764,0.137892443216256,-0.0721384911514128,0.339134579519722,0.365443754271396,-0.0276363093106943,146,306,146,-0.00528766102177122,-0.0470750458618916,0.0364997238183491,63,0.4,0.1,0.020739641863102,0.144012644802816
"2584","Overall",-0.0113936746357281,0.391765261187361,0.404449028552332,-0.0126837673649708,0.186790505804194,-0.0258812334815697,0.316086551252022,0.342828254415394,-0.00897646880441513,314,314,305,-0.00631852476864023,-0.0206530528117674,0.00801600327448695,64,0,0,0.000129815821704833,0.0113936746357281
"2585","StatisticalSignificance",0.0591664950944003,0.423633379453859,0.410511865719407,0.0131215137344526,0.158809293264233,0.00663474176607074,0.335804927330181,0.348460391688818,0.00212539399302816,280,306,279,0.00304232125945986,-0.0115513623130422,0.0176360048319619,64,0,0,0.0035006741417557,0.0591664950944003
"2586","Nonequivalence",0.0246247412957558,0.411015985981703,0.40760316731571,0.00341281866599314,0.164836399344412,-0.00774028401430906,0.325009142652003,0.342828254415394,-0.0020597546477974,291,305,291,-0.00218820990190321,-0.0166983245177901,0.0123219047139836,64,0,0,0.000606377883882903,0.0246247412957558
